name_gr,name_en,categories,address,phone,url
"Αττικό Μετρό Α.Ε ","Attiko Metro S.A.","Μεταφορά Σύστημα μαζικών μεταφορών ","191-193 Messogeion Ave Αθήνα 115 25,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d7759649-Reviews-Attiko_Metro_S_A-Athens_Attica.html"
"Πρώτο Νεκροταφείο Αθηνών ","First Cemetery of Athens","Μνημεία και αξιοθέατα Ιστορικές τοποθεσίες ","Diagora & Frynonos Διαγόρα & Φρυνωνος Αθήνα 116 36,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d8426708-Reviews-First_Cemetery_of_Athens-Athens_Attica.html"
"Νομισματικό Μουσείο ","Numismatic Museum","Μουσεία Μουσεία ιστορίας Εξειδικευμένα μουσεία ","Πανεπιστημίου 12 Ιλίου Μέλαθρον Αθήνα 999-20,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d242830-Reviews-Numismatic_Museum-Athens_Attica.html"
"Ζάππειο Μέγαρο - Συνεδριακό και Εκθεσιακό Κέντρο ","Zappeion Conference & Exhibition Center","Πηγές ενημέρωσης ταξιδιωτών Συνεδριακά κέντρα ","Λεωφόρος Βασιλίσσης Όλγας Αθήνα,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d1420241-Reviews-Zappeion_Conference_Exhibition_Center-Athens_Attica.html"
"Εθνικό Ιστορικό Μουσείο (Παλιά Βουλή) ","National History Museum (Old Parliament)","Μουσεία Μουσεία ιστορίας ","Οδός Σταδίου Αθήνα 10561,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d566828-Reviews-National_History_Museum_Old_Parliament-Athens_Attica.html"
"Οδός Ερμού ","Ermou Street","Μνημεία και αξιοθέατα Μνημεία και σημεία ενδιαφέροντος ","Αθήνα,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d267751-Reviews-Ermou_Street-Athens_Attica.html"
"Βουλή των Ελλήνων ","Hellenic Parliament","Μνημεία και αξιοθέατα Ιστορικές τοποθεσίες Κυβερνητικά κτίρια ","Parliament Mansion Πλατεία Συντάγματος Αθήνα GR-10021,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d198707-Reviews-Hellenic_Parliament-Athens_Attica.html"
"Μητρόπολη Αθηνών ","Metropolitan Cathedral of Athens","Μνημεία και αξιοθέατα Εκκλησίες και καθεδρικοί ναοί Μνημεία και σημεία ενδιαφέροντος ","Πλατεία Μητροπόλεως Αθήνα 999 20,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d524626-Reviews-Metropolitan_Cathedral_of_Athens-Athens_Attica.html"
"Οδός Πανδρόσου, Μοναστηράκι ","Pandrossou","Μνημεία και αξιοθέατα Μνημεία και σημεία ενδιαφέροντος ","Pandrossou Αθήνα 10555,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d198708-Reviews-Pandrossou-Athens_Attica.html"
"Εθνικό Μουσείο Σύγχρονης Τέχνης ","National Museum of Contemporary Art","Μουσεία Μουσεία τέχνης ","",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d10813849-Reviews-National_Museum_of_Contemporary_Art-Athens_Attica.html"
"Μουσείο Σχολικής Ζωής και Εκπαίδευσης ","School Life and Education Museum","Μνημεία και αξιοθέατα Μουσεία ","",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d8121195-Reviews-School_Life_and_Education_Museum-Athens_Attica.html"
"Πάνθεον ","Pantheon","Μνημεία και αξιοθέατα Ιστορικές τοποθεσίες ","",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d12206223-Reviews-Pantheon-Athens_Attica.html"
"Υμητός ","Hymettus","Φύση και πάρκα Βουνά ","Καισαριανή Αθήνα,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d3683583-Reviews-Hymettus-Athens_Attica.html"
"Ιερός Ναός Αγίων Ισιδώρων ","Church of Saint Isidore","Μνημεία και αξιοθέατα Θρησκευτικές τοποθεσίες και ιεροί χώροι Εκκλησίες και καθεδρικοί ναοί ","Λυκαβηττός Αθήνα 114 71,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d8561069-Reviews-Church_of_Saint_Isidore-Athens_Attica.html"
"Αμαξοστοιχία-Θέατρο Το Τρένο στο Ρουφ ","to Treno sto Rouf railway carriage theater","Συναυλίες και παραστάσεις Θέατρα ","Λεωφόρος Κωνσταντινουπόλεως Προαστιακός Σταθμός Ρουφ Αθήνα 11854,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d4339382-Reviews-To_Treno_sto_Rouf_railway_carriage_theater-Athens_Attica.html"
"Θέατρο Παλλάς ","Pallas Theater","Συναυλίες και παραστάσεις Θέατρα ","",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d607283-Reviews-Pallas_Theater-Athens_Attica.html"
"Εθνική Λυρική Σκηνή (Θέατρο Ολύμπια) ","Olympia Theater","Συναυλίες και παραστάσεις Θέατρα ","Ακαδημίας 59, Μαυρομιχάλη Αθήνα 106 79,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d607262-Reviews-Olympia_Theater-Athens_Attica.html"
"Ελληνικό Παιδικό Μουσείο ","Hellenic Children's Museum","Μουσεία Μουσεία για παιδιά ","Βασ. Γεωργίου Β΄ 17-19 & Ρηγίλλης Αθήνα 106 75,  Ελλάδα ",\N,"https://www.tripadvisor.com.gr/Attraction_Review-g189400-d2587476-Reviews-Hellenic_Children_s_Museum-Athens_Attica.html"
